,year,team,conference,rating,secondOrderWins,sos,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams
1,1999,Florida State,ACC,32.6,NA,NA,4.71E+01,NA,NA,NA,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1999,Nebraska,Big Ten,30.1,NA,NA,4.25E+01,NA,NA,NA,NA,NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1999,Virginia Tech,ACC,28.2,NA,NA,4.50E+01,NA,NA,NA,NA,NA,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1999,Tennessee,SEC,26.7,NA,NA,4.03E+01,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,Alabama,SEC,26.5,NA,NA,4.19E+01,NA,NA,NA,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1999,Penn State,Big Ten,26.1,NA,NA,4.20E+01,NA,NA,NA,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1999,Michigan,Big Ten,24.6,NA,NA,4.17E+01,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1999,Wisconsin,Big Ten,23,NA,NA,3.85E+01,NA,NA,NA,NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1999,Michigan State,Big Ten,23,NA,NA,4.15E+01,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1999,Miami,ACC,22.7,NA,NA,4.01E+01,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1999,Kansas State,Big 12,21.8,NA,NA,4.08E+01,NA,NA,NA,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1999,Florida,SEC,21.7,NA,NA,4.08E+01,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1999,Marshall,Conference USA,21,NA,NA,3.65E+01,NA,NA,NA,NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1999,Southern Mississippi,Conference USA,19.8,NA,NA,3.52E+01,NA,NA,NA,NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1999,Oklahoma,Big 12,18.3,NA,NA,4.13E+01,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1999,Illinois,Big Ten,17.1,NA,NA,4.06E+01,NA,NA,NA,NA,NA,NA,NA,NA,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1999,Minnesota,Big Ten,16.8,NA,NA,3.52E+01,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1999,Texas,Big 12,16.2,NA,NA,3.93E+01,NA,NA,NA,NA,NA,NA,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1999,Clemson,ACC,16,NA,NA,3.59E+01,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1999,Ohio State,Big Ten,15.2,NA,NA,3.57E+01,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1999,Purdue,Big Ten,14.7,NA,NA,4.08E+01,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1999,Utah,Pac-12,14.5,NA,NA,3.62E+01,NA,NA,NA,NA,NA,NA,NA,NA,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1999,Georgia Tech,ACC,14.1,NA,NA,4.65E+01,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1999,Texas A&M,SEC,13.2,NA,NA,3.38E+01,NA,NA,NA,NA,NA,NA,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1999,BYU,FBS Independents,13,NA,NA,3.56E+01,NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1999,Ole Miss,SEC,12.7,NA,NA,3.35E+01,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1999,Notre Dame,FBS Independents,12.4,NA,NA,3.97E+01,NA,NA,NA,NA,NA,NA,NA,NA,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1999,Colorado State,Mountain West,12.4,NA,NA,3.66E+01,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1999,Oregon,Pac-12,12.4,NA,NA,4.03E+01,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1999,Washington,Pac-12,11.6,NA,NA,3.72E+01,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1999,Arkansas,SEC,11.4,NA,NA,3.36E+01,NA,NA,NA,NA,NA,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1999,Louisville,ACC,11.4,NA,NA,4.41E+01,NA,NA,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1999,Colorado,Pac-12,11.3,NA,NA,4.07E+01,NA,NA,NA,NA,NA,NA,NA,NA,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1999,Stanford,Pac-12,10.7,NA,NA,4.36E+01,NA,NA,NA,NA,NA,NA,NA,NA,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1999,East Carolina,American Athletic,10,NA,NA,3.24E+01,NA,NA,NA,NA,NA,NA,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1999,Mississippi State,SEC,10,NA,NA,2.47E+01,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1999,Auburn,SEC,9.8,NA,NA,3.03E+01,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1999,Oregon State,Pac-12,9.2,NA,NA,3.35E+01,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1999,USC,Pac-12,9.2,NA,NA,3.57E+01,NA,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1999,Memphis,American Athletic,8.6,NA,NA,2.65E+01,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1999,Cincinnati,American Athletic,7.8,NA,NA,3.42E+01,NA,NA,NA,NA,NA,NA,NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1999,Syracuse,ACC,7.6,NA,NA,3.12E+01,NA,NA,NA,NA,NA,NA,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1999,San Diego State,Mountain West,7.5,NA,NA,2.99E+01,NA,NA,NA,NA,NA,NA,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1999,Air Force,Mountain West,7.1,NA,NA,2.90E+01,NA,NA,NA,NA,NA,NA,NA,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1999,Virginia,ACC,6.6,NA,NA,3.90E+01,NA,NA,NA,NA,NA,NA,NA,NA,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1999,Georgia,SEC,6.4,NA,NA,3.54E+01,NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1999,Wyoming,Mountain West,6.1,NA,NA,3.38E+01,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1999,Fresno State,Mountain West,6,NA,NA,3.56E+01,NA,NA,NA,NA,NA,NA,NA,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1999,Louisiana Tech,Conference USA,5.4,NA,NA,3.99E+01,NA,NA,NA,NA,NA,NA,NA,NA,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1999,Boise State,Mountain West,4,NA,NA,3.47E+01,NA,NA,NA,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1999,Wake Forest,ACC,4,NA,NA,2.55E+01,NA,NA,NA,NA,NA,NA,NA,NA,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1999,TCU,Big 12,3.2,NA,NA,3.03E+01,NA,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1999,Kentucky,SEC,3.1,NA,NA,3.52E+01,NA,NA,NA,NA,NA,NA,NA,NA,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1999,West Virginia,Big 12,2.8,NA,NA,3.32E+01,NA,NA,NA,NA,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1999,Pittsburgh,ACC,2.8,NA,NA,3.21E+01,NA,NA,NA,NA,NA,NA,NA,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
