"","year","school","talent"
"1",2015,"Alabama","981.90"
"2",2015,"USC","926.71"
"3",2015,"Ohio State","907.32"
"4",2015,"Florida State","889.92"
"5",2015,"LSU","889.37"
"6",2015,"Georgia","877.74"
"7",2015,"Auburn","865.41"
"8",2015,"Notre Dame","857.33"
"9",2015,"Michigan","851.12"
"10",2015,"Texas A&M","830.34"
"11",2015,"Texas","821.26"
"12",2015,"Tennessee","810.53"
"13",2015,"Clemson","807.56"
"14",2015,"UCLA","793.22"
"15",2015,"Florida","789.79"
"16",2015,"Oklahoma","775.90"
"17",2015,"Miami","773.23"
"18",2015,"Stanford","765.98"
"19",2015,"Ole Miss","764.34"
"20",2015,"Oregon","757.52"
"21",2015,"Penn State","732.36"
"22",2015,"South Carolina","725.72"
"23",2015,"Michigan State","715.30"
"24",2015,"Nebraska","699.89"
"25",2015,"Arkansas","695.04"
"26",2015,"North Carolina","683.03"
"27",2015,"Arizona State","680.87"
"28",2015,"Mississippi State","680.06"
"29",2015,"Washington","667.45"
"30",2015,"Virginia","667.05"
"31",2015,"Baylor","660.35"
"32",2015,"Virginia Tech","658.38"
"33",2015,"Oklahoma State","651.83"
"34",2015,"Missouri","642.93"
"35",2015,"Texas Tech","641.07"
"36",2015,"Louisville","641.05"
"37",2015,"Wisconsin","635.77"
"38",2015,"Kentucky","634.52"
"39",2015,"TCU","630.38"
"40",2015,"California","626.00"
"41",2015,"West Virginia","625.85"
"42",2015,"Pittsburgh","611.18"
"43",2015,"NC State","610.33"
"44",2015,"Vanderbilt","609.76"
"45",2015,"Arizona","606.92"
"46",2015,"Maryland","603.76"
"47",2015,"Rutgers","602.35"
"48",2015,"Northwestern","595.75"
"49",2015,"Georgia Tech","590.34"
"50",2015,"Utah","574.41"
"51",2015,"Iowa","573.06"
"52",2015,"Boise State","568.96"
"53",2015,"Duke","563.19"
"54",2015,"Indiana","559.08"
"55",2015,"Oregon State","544.66"
"56",2015,"Colorado","542.06"
"57",2015,"Washington State","540.86"
"58",2015,"Boston College","534.60"
"59",2015,"Purdue","534.26"
"60",2015,"Illinois","530.96"
"61",2015,"South Florida","529.65"
"62",2015,"Iowa State","529.12"
"63",2015,"BYU","521.43"
"64",2015,"Minnesota","516.10"
"65",2015,"Houston","511.45"
"66",2015,"Syracuse","508.80"
"67",2015,"Kansas State","503.64"
"68",2015,"Kansas","499.97"
"69",2015,"Wake Forest","497.48"
"70",2015,"San Diego State","494.77"
"71",2015,"Cincinnati","494.65"
"72",2015,"Marshall","489.77"
"73",2015,"UCF","484.54"
"74",2015,"Southern Mississippi","470.84"
"75",2015,"SMU","446.83"
"76",2015,"Western Michigan","442.13"
"77",2015,"Louisiana Tech","437.99"
"78",2015,"Bowling Green","433.59"
"79",2015,"Louisiana","430.17"
"80",2015,"Toledo","429.03"
"81",2015,"Akron","412.65"
"82",2015,"Middle Tennessee","409.82"
"83",2015,"Tulane","408.22"
"84",2015,"Arkansas State","408.08"
"85",2015,"Temple","405.92"
"86",2015,"Tulsa","404.03"
"87",2015,"East Carolina","403.62"
"88",2015,"Fresno State","402.58"
"89",2015,"Connecticut","402.23"
"90",2015,"Florida Atlantic","401.61"
"91",2015,"Rice","399.58"
"92",2015,"Miami (OH)","397.13"
"93",2015,"Georgia Southern","391.18"
"94",2015,"Colorado State","389.10"
"95",2015,"Hawai'i","385.63"
"96",2015,"Memphis","381.80"
"97",2015,"Northern Illinois","380.69"
"98",2015,"North Texas","380.69"
"99",2015,"Nevada","380.53"
"100",2015,"San José State","379.60"
"101",2015,"Central Michigan","376.81"
"102",2015,"South Alabama","367.16"
"103",2015,"Texas State","360.49"
