Rk,Player,Year,Class,School,G,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD
1,Jacob Daulong,2019,SO,Houston,1,1,2,2,0
2,Isaac Guerendo,2019,FR,Wisconsin,1,1,49,49,0
3,Austyn Chestnut,2019,SO,North Carolina,1,1,8,8,0
4,Seneca Milledge,2019,FR,Virginia,3,8,206,25.8,0
5,AC White,2019,FR,Old Dominion,1,1,4,4,0
6,Bryan Long Jr.,2019,JR,Ohio,2,1,22,22,0
7,Carter Stagner,2019,FR,Eastern Michigan,2,1,4,4,0
8,John Hassell,2019,SO,Memphis,1,1,15,15,0
9,Tevita Ika,2019,FR,Brigham Young,2,5,92,18.4,0
10,Will Watanabe,2019,FR,Brigham Young,1,1,29,29,0
11,Kyshad Mack,2019,FR,Akron,1,1,13,13,0
12,Dexter Carter Jr.,2019,JR,Georgia Southern,3,2,12,6,0
13,Blake Kern,2019,JR,Arkansas,1,1,11,11,0
14,Cameron Latu,2019,FR,Alabama,2,1,0,0,0
15,Will Register,2019,SO,South Carolina,1,1,0,0,0
16,Chase Lane,2019,FR,Texas A&M,1,1,24,24,0
17,Jalen McKenzie,2019,SO,USC,2,1,4,4,0
18,Masen Wake,2019,FR,Brigham Young,2,1,0,0,0
19,Zach Weinmaster,2019,FR,Nebraska,2,3,42,14,0
20,Xavier Johnson,2019,SO,Ohio State,2,1,19,19,0
21,DeJordan Mask,2019,FR,Texas State,6,11,324,29.5,0
22,Walter Pritchett,2019,JR,Troy,2,1,0,0,0
23,Treon Sibley,2019,FR,Liberty,1,1,19,19,0
24,Jackson Burrill,2019,JR,San Jose State,2,2,23,11.5,0
25,Kenan Christon,2019,FR,USC,6,1,20,20,0
26,Jeremy Lewis,2019,FR,East Carolina,4,1,4,4,0
27,Connor Morton,2019,FR,Oregon State,4,4,81,20.3,0
28,Christian Swint,2019,FR,Nevada,2,2,34,17,0
29,Isaac Vance,2019,SO,Kent State,3,1,5,5,0
30,Zion Echols,2019,JR,Fresno State,4,6,115,19.2,0
31,Deonte Perry,2019,JR,Fresno State,1,1,33,33,0
32,Andre Bodison,2019,SR,New Mexico State,4,1,0,0,0
33,Chase Brown,2019,SO,Illinois,2,1,15,15,0
34,Chris Claybrooks,2019,JR,Memphis,8,11,338,30.7,1
35,Zach Johnson,2019,SR,Kentucky,5,4,125,31.3,0
36,Will Matthews,2019,SR,Kent State,7,2,33,16.5,0
37,Keye Thompson,2019,FR,Ohio,7,1,25,25,0
38,Nadir Thompson,2019,FR,Virginia Tech,2,1,14,14,0
39,John Turner,2019,SO,Middle Tennessee State,2,2,12,6,0
40,Mark Williams,2019,FR,Kent State,1,1,0,0,0
41,Boobie Curry,2019,FR,Arizona,6,1,22,22,0
42,Samy Johnson,2019,FR,Arkansas State,3,3,44,14.7,0
43,Chad Magyar,2019,SO,Nevada-Las Vegas,8,1,19,19,0
44,Shaun Peterson Jr,2019,FR,Florida International,3,1,0,0,0
45,T.J. Pledger,2019,SO,Oklahoma,6,8,121,15.1,0
46,Demarcus Townsend,2019,FR,Florida International,2,1,2,2,0
47,Dayton Wade,2019,FR,Western Kentucky,3,2,62,31,0
48,Wesley Kennedy III,2019,JR,Georgia Southern,8,7,172,24.6,0
49,Jaylan Alexander,2019,SO,Purdue,9,1,8,8,0
50,Darrell Brown,2019,SR,Old Dominion,8,1,24,24,0
51,Parker Eichenberger,2019,SO,Houston,4,2,15,7.5,0
52,Jonny Forrest,2019,JR,Temple,3,1,12,12,0
53,Timmie Gibson,2019,SO,Troy,6,5,48,9.6,0
54,T.J. Hammonds,2019,JR,Arkansas,5,3,61,20.3,0
55,Hunter Hayek,2019,JR,Rutgers,1,1,1,1,0
56,Jawhar Jordan,2019,FR,Syracuse,4,4,114,28.5,0
57,Michael Kopaygorodsky,2019,SO,Cincinnati,4,1,13,13,0
58,Houston Miller,2019,JR,Texas Tech,2,1,7,7,0
59,Monte Pottebaum,2019,FR,Iowa,2,1,10,10,0
60,TJ Sheffield,2019,FR,Purdue,1,2,30,15,0
61,Leonard Taylor,2019,SO,Cincinnati,4,1,13,13,0
62,Wayne Toussant,2019,FR,Louisiana Tech,8,15,387,25.8,0
63,A.J. Woods,2019,FR,Pittsburgh,3,5,78,15.6,0
64,Michael Young,2019,JR,Notre Dame,3,2,48,24,0
65,DeShawn Collins,2019,JR,California,7,3,58,19.3,0
66,Antonio Dicerbo,2019,JR,Maryland,1,1,6,6,0
67,Elijah Juarez,2019,FR,Arizona State,4,1,7,7,0
68,Gabriel Rogers,2019,JR,Memphis,1,1,99,99,1
69,Chad Alexander,2019,FR,New Mexico,3,4,74,18.5,0
70,John Brannon,2019,JR,Texas State,1,1,0,0,0
71,Patrick Elima-Jeune,2019,SO,Fresno State,4,6,107,17.8,0
72,Jeff Foreman,2019,FR,Arkansas State,6,10,253,25.3,0
73,Matt Geiger,2019,SO,Old Dominion,7,2,33,16.5,0
74,Tyler Gilchrist,2019,JR,Akron,3,1,20,20,0
75,Conner Greene,2019,SR,Iowa State,2,1,0,0,0
76,Hayden Harrison,2019,JR,North Texas,3,2,12,6,0
77,Isaiah Holiness,2019,FR,San Jose State,7,3,66,22,0
78,AJ Howard Jr.,2019,SO,Army,3,2,6,3,0
79,Keegan Jones,2019,FR,UCLA,1,2,28,14,0
80,Orlando Lacey,2019,SO,Troy,4,2,23,11.5,0
81,Rashaan Lewis,2019,SO,Florida Atlantic,1,1,8,8,0
82,Ja'Veon Marlow,2019,FR,Vanderbilt,3,4,81,20.3,0
83,Logan Peterson,2019,SO,Florida Atlantic,3,1,16,16,0
84,Geordon Porter,2019,FR,Arizona State,5,2,62,31,0
85,Lincoln Victor,2019,FR,Hawaii,9,17,399,23.5,0
86,Carter Ware,2019,SO,Texas Christian,3,1,1,1,0
87,Kaegun Williams,2019,SO,San Diego State,7,4,140,35,1
88,Dylan Wyatt,2019,SO,Illinois,1,1,15,15,0
89,Praise Okorie,2019,JR,Louisiana Tech,5,1,0,0,0
90,Jacob Adams,2019,SO,Louisiana Tech,3,1,4,4,0
91,Micah Baskerville,2019,SO,Louisiana State,9,1,46,46,0
92,Brandon Bischof,2019,SO,Akron,6,1,0,0,0
93,Brett Bostad,2019,FR,Northern Illinois,2,1,6,6,0
94,Robert Burns,2019,SO,Miami (FL),5,1,16,16,0
95,Bryson Carroll,2019,SO,New Mexico,10,8,245,30.6,0
96,Tory Carter,2019,JR,Louisiana State,4,1,0,0,0
97,Bobby Cole,2019,SO,New Mexico,6,1,4,4,0
98,Ty'Ree Evans,2019,JR,Southern Mississippi,4,1,8,8,0
99,Colby Gore,2019,SR,East Carolina,10,6,88,14.7,0
100,Julian Hicks,2019,SO,Akron,8,1,17,17,0
101,Berkeley Holman,2019,SO,Northwestern,8,1,18,18,0
102,Darnay Holmes,2019,JR,UCLA,10,1,20,20,0
103,Jacoby Hopkins,2019,FR,Texas State,4,1,1,1,0
104,Shocky Jacques-Louis,2019,SO,Pittsburgh,9,4,62,15.5,0
105,Brandon Junk,2019,SR,Akron,2,1,3,3,0
106,Matt Locher,2019,SR,Boise State,6,2,17,8.5,0
107,Michael LoVett III,2019,JR,New Mexico,8,7,170,24.3,0
108,Sione Lund,2019,SO,Utah,6,1,6,6,0
109,Pearse Migl,2019,FR,Louisiana,5,2,15,7.5,0
110,Malik Miller,2019,JR,Auburn,7,1,0,0,0
111,Dante Nardi,2019,FR,Massachusetts,1,1,0,0,0
112,Jaylin Nelson,2019,JR,Texas State,4,2,34,17,0
113,Nick Provenzano,2019,JR,Boise State,4,1,10,10,0
114,Ryan Renick,2019,JR,Texas A&M,5,1,11,11,0
115,Drew Schlegel,2019,SR,Kentucky,4,2,9,4.5,0
116,Ainias Smith,2019,FR,Texas A&M,10,11,221,20.1,0
117,Melquan Stovall,2019,FR,Nevada,8,4,81,20.3,0
118,Jacquez Stuart,2019,FR,Toledo,3,3,68,22.7,0
119,Andre Welch,2019,JR,Michigan State,2,1,12,12,0
120,Pro Wells,2019,SO,Texas Christian,8,1,5,5,0
121,Nate Wieting,2019,SR,Iowa,4,1,0,0,0
122,Cam Wiley,2019,FR,Minnesota,3,4,76,19,0
123,Steven Witchoskey,2019,JR,Western Kentucky,3,1,10,10,0
124,Winston Wright,2019,FR,West Virginia,8,7,193,27.6,1
125,Garrett Walston,2019,JR,North Carolina,6,2,12,6,0
126,Isaiah Azubuike,2019,FR,Arkansas State,5,1,18,18,0
127,Keevan Bailey,2019,FR,Colorado State,8,1,19,19,0
128,Julian Barnett,2019,FR,Michigan State,10,3,36,12,0
129,Michael Barrett,2019,SO,Michigan,6,1,20,20,0
130,Nazar Bombata,2019,FR,Arizona,2,1,16,16,0
131,Keith Brown Jr.,2019,JR,Memphis,6,5,37,7.4,0
132,Maurice Burkley,2019,JR,Louisville,4,1,20,20,0
133,Mitchell Burton,2019,SO,Miami (OH),2,2,32,16,0
134,DJ Chatman,2019,JR,Arkansas State,6,1,5,5,0
135,Hugh Davis,2019,FR,Boston College,4,1,0,0,0
136,Dawson Downing,2019,JR,Missouri,10,2,45,22.5,0
