Rk,Player,Year,Class,School,G,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD
1,Joseph Early,2019,JR,Marshall,1,1,16,16,1
2,Myles Hudzick,2019,JR,Duke,2,3,30,10,0
3,Cardavion Myers,2019,FR,Western Kentucky,1,1,0,0,0
4,Kyle Griffitts,2019,JR,Brigham Young,1,1,6,6,0
5,Trevon Bradford,2019,SR,Oregon State,4,2,14,7,0
6,Demarcus Governor,2019,FR,Central Michigan,1,1,0,0,0
7,Andrew Strader,2019,JR,Boston College,2,2,39,19.5,0
8,Max Cooper,2019,JR,Iowa,3,3,18,6,0
9,Roger Cray,2019,JR,Western Kentucky,5,5,28,5.6,0
10,Kevin Terry,2019,FR,Texas Tech,1,1,0,0,0
11,Devan Wade,2019,SR,West Virginia,2,2,1,0.5,0
12,Spencer Jorgensen,2019,FR,Stanford,1,1,21,21,1
13,Cade Musser,2019,FR,Missouri,2,4,16,4,0
14,Tyrell Shavers,2019,SO,Alabama,3,1,2,2,1
15,Dayton Wade,2019,FR,Western Kentucky,3,1,7,7,0
16,Wesley Kennedy III,2019,JR,Georgia Southern,8,6,92,15.3,1
17,Darrell Brown,2019,SR,Old Dominion,8,10,96,9.6,0
18,Andrew Choi,2019,FR,Hawaii,3,1,27,27,0
19,Cornell Hendrick Jr.,2019,FR,Old Dominion,6,2,6,3,0
20,Mike Sainristil,2019,FR,Michigan,5,1,0,0,0
21,John Vardzel,2019,FR,Pittsburgh,4,5,7,1.4,0
22,Jake Bobo,2019,SO,Duke,6,2,21,10.5,0
23,Xander Gagnon,2019,JR,Duke,5,1,11,11,0
24,Jarion Anderson,2019,SR,Tulsa,2,2,6,3,0
25,Will Brown,2019,SO,Clemson,2,2,16,8,0
26,DeShawn Gaddie,2019,FR,North Texas,3,1,9,9,0
27,Raymond James,2019,SO,Kent State,5,4,55,13.8,0
28,Donovan Peoples-Jones,2019,JR,Michigan,10,23,175,7.6,0
29,Brandon Sowards,2019,SR,Michigan State,7,13,75,5.8,0
30,Calvin Austin III,2019,SO,Memphis,8,4,0,0,0
31,Micah Baskerville,2019,SO,Louisiana State,9,1,23,23,1
32,Daniel Bituli,2019,SR,Tennessee,9,1,29,29,1
33,Tyler Byrd,2019,SR,Tennessee,4,1,16,16,0
34,Isaiah Foskey,2019,FR,Notre Dame,3,1,23,23,0
35,Berkeley Holman,2019,SO,Northwestern,8,2,17,8.5,0
36,Jamal Jones,2019,SR,Arkansas State,8,1,2,2,0
37,Corey Lersch,2019,JR,Northern Illinois,5,1,20,20,0
38,Jeremiah Salaam,2019,SO,Kent State,8,1,21,21,0
39,Ainias Smith,2019,FR,Texas A&M,10,15,187,12.5,0
40,Logan Thimons,2019,JR,West Virginia,1,1,16,16,0
41,Joe Wilkins,2019,SO,Notre Dame,2,2,2,1,0
42,Jayrin Wilson,2019,SO,Louisiana,7,1,7,7,0
43,Dominick Blaylock,2019,FR,Georgia,12,14,128,9.1,0
44,Jamari Bozeman,2019,SR,Bowling Green State,9,1,9,9,0
45,Keith Brown Jr.,2019,JR,Memphis,6,1,27,27,1
46,Alvin Davis,2019,SR,Akron,11,4,15,3.8,0
47,Samuel Emilus,2019,SO,Massachusetts,11,1,11,11,0
48,Troy Golden,2019,FR,Colorado State,5,1,10,10,0
49,Javon Jackson,2019,JR,Duke,5,1,14,14,1
50,Ale Kaho,2019,SO,Alabama,9,2,42,21,1
51,Derion Kendrick,2019,SO,Clemson,11,8,15,1.9,0
52,RB Marlow III,2019,SR,Bowling Green State,11,2,3,1.5,0
53,Aaron Mathews,2019,SR,Pittsburgh,10,1,9,9,0
54,Antonio Nunn,2019,JR,Buffalo,11,1,16,16,0
55,Chux Nwabuko III,2019,FR,Texas Tech,5,7,42,6,0
56,Levi Onwuzurike,2019,JR,Washington,11,1,12,12,0
57,Tyler Page,2019,JR,SMU,8,1,6,6,0
