,season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
9088,2019,4055171,Anthony Gordon,QB,Washington State,Pac-12,720,0.286,0.305,-0.106,0.21,0.298,0.466,0.259,0.361,205.977,209.472,-3.495,71.873,71.617,56.422,136.247,69.73
913,2015,550629,Luke Falk,QB,Washington State,Pac-12,708,0.263,0.284,-0.041,0.007,0.309,0.548,0.156,0.462,186.006,187.886,-1.88,1.903,75.629,79.397,71.779,114.227
6594,2018,4038524,Gardner Minshew,QB,Washington State,Pac-12,701,0.299,0.29,0.43,0.099,0.361,0.506,0.203,0.51,209.546,190.206,19.34,28.505,89.137,74.375,97.426,112.12
8840,2019,3675812,Bryce Perkins,QB,Virginia,ACC,701,0.19,0.182,0.211,0.041,0.082,0.576,0.188,0.193,132.977,94.763,38.215,12.226,18.778,95.575,86.505,46.472
2123,2016,550629,Luke Falk,QB,Washington State,Pac-12,685,0.271,0.285,0.017,0.059,0.37,0.479,0.155,0.488,185.374,184.754,0.62,16.607,87.969,68.501,69.2,116.174
253,2014,552097,Anu Solomon,QB,Arizona,Pac-12,664,0.211,0.215,0.19,0.071,0.209,0.368,0.167,0.273,140.378,121.933,18.445,16.617,51.979,61.768,63.8,76.578
2281,2016,3916387,Lamar Jackson,QB,Louisville,ACC,649,0.377,0.293,0.558,0.305,0.234,0.736,0.333,0.464,244.535,130.093,114.442,93.56,46.013,97.949,143.879,100.656
4463,2017,3916387,Lamar Jackson,QB,Louisville,ACC,642,0.441,0.356,0.629,0.338,0.266,0.819,0.369,0.574,283.268,157.551,125.717,94.415,53.214,116.357,153.471,129.797
9759,2019,3915511,Joe Burrow,QB,LSU,SEC,623,0.626,0.638,0.549,0.594,0.573,0.863,0.532,0.848,390.296,347.49,42.806,187.791,104.328,103.612,232.655,157.641
3926,2017,3124981,Tyler Rogers,QB,New Mexico State,FBS Independents,618,0.209,0.208,0.219,-0.018,0.15,0.772,0.011,0.48,128.936,117.968,10.968,-4.833,29.778,111.895,4.082,124.854
4119,2017,3116379,Justice Hansen,QB,Arkansas State,Sun Belt,607,0.28,0.263,0.368,0.185,0.305,0.619,0.258,0.326,170.216,134.114,36.102,48.012,62.427,82.954,104.386,65.831
6661,2018,4038220,Cole McDonald,QB,Hawai'i,Mountain West,602,0.326,0.345,0.227,0.225,0.281,0.487,0.284,0.397,196.166,174.38,21.786,54.908,56.257,62.279,107.668,88.498
9269,2019,4241820,Sam Ehlinger,QB,Texas,Big 12,602,0.364,0.352,0.413,0.229,0.268,0.808,0.193,0.651,219.341,167.719,51.622,56.476,49.646,128.425,72.78,146.561
4075,2017,549804,Mike White,QB,Western Kentucky,Conference USA,599,0.263,0.26,0.344,0.094,0.193,0.656,0.077,0.527,157.579,150.008,7.571,20.967,39.662,102.964,26.928,130.651
9179,2019,4038220,Cole McDonald,QB,Hawai'i,Mountain West,599,0.323,0.311,0.399,0.169,0.338,0.676,0.288,0.402,193.605,160.873,32.732,47.686,61.453,77.014,120.009,73.596
6753,2018,3122424,Taylor Cornelius,QB,Oklahoma State,Big 12,594,0.364,0.332,0.55,0.104,0.292,0.755,0.214,0.621,216.419,167.45,48.969,25.896,53.764,110.915,80.403,136.016
6880,2018,4040616,Dwayne Haskins,QB,Ohio State,Big Ten,593,0.429,0.47,0.047,0.258,0.386,0.727,0.286,0.666,254.41,251.711,2.699,59.854,79.875,106.895,105.98,148.43
3567,2017,3917792,Daniel Jones,QB,Duke,ACC,590,0.078,0.003,0.341,-0.043,0.152,0.22,0.026,0.159,46.075,1.411,44.664,-10.622,26.128,33.587,9.453,36.622
1898,2016,3116188,David Blough,QB,Purdue,Big Ten,589,0.142,0.11,0.475,-0.183,0.015,0.693,-0.05,0.407,83.881,59.169,24.711,-39.999,2.946,110.112,-16.963,100.844
3861,2017,550629,Luke Falk,QB,Washington State,Pac-12,588,0.187,0.187,0.202,0.016,0.029,0.714,0.06,0.408,110.1,104.444,5.656,3.656,5.88,102.052,22.485,87.615
4089,2017,4039073,Mason Fine,QB,North Texas,Conference USA,588,0.268,0.295,0.075,0.05,0.293,0.568,0.158,0.463,157.711,152.302,5.41,12.666,53.673,77.311,59.495,98.217
4209,2017,3116172,Trace McSorley,QB,Penn State,Big Ten,581,0.318,0.335,0.251,0.085,0.262,0.801,0.11,0.668,184.533,154.416,30.117,19.907,53.237,104.972,40.328,144.205
6759,2018,4241820,Sam Ehlinger,QB,Texas,Big 12,577,0.366,0.349,0.422,0.102,0.379,0.675,0.27,0.541,211.403,153.965,57.438,24.139,64.105,106.676,100.524,110.88
860,2015,530478,Thomas Sirk,QB,Duke,ACC,576,0.201,0.214,0.165,0.066,0.099,0.476,0.087,0.375,116.019,92.086,23.934,13.916,19.28,75.274,30.115,85.904
3995,2017,3728240,Kelly Bryant,QB,Clemson,ACC,568,0.233,0.209,0.29,-0.02,0.156,0.628,0.199,0.297,132.078,84.818,47.26,-3.989,32.096,99.841,74.662,57.416
2038,2016,545624,J.T. Barrett,QB,Ohio State,Big Ten,565,0.223,0.186,0.307,0.159,0.108,0.503,0.095,0.417,126.014,73.455,52.559,33.726,21.679,71.926,32.243,93.771
2009,2016,3116144,Clayton Thorson,QB,Northwestern,Big Ten,563,0.204,0.191,0.324,0.02,0.098,0.514,0.114,0.336,115.086,96.965,18.121,4.297,16.502,79.616,38.086,77
2127,2016,4040715,Jalen Hurts,QB,Alabama,SEC,559,0.276,0.249,0.338,0.093,0.311,0.521,0.161,0.481,154.11,98.271,55.839,22.336,54.345,71.962,57.519,96.591
6363,2018,545683,Brent Stockstill,QB,Middle Tennessee,Conference USA,559,0.203,0.205,0.187,-0.072,0.323,0.478,0.093,0.358,113.304,98.515,14.789,-14.379,66.516,64.521,30.529,82.775
9705,2019,4040715,Jalen Hurts,QB,Oklahoma,Big 12,559,0.593,0.635,0.519,0.349,0.648,0.895,0.502,0.775,331.744,227.931,103.813,81.975,124.47,110.03,186.778,144.966
3596,2017,545645,Kurt Benkert,QB,Virginia,ACC,557,0.086,0.087,0.064,-0.131,0.093,0.414,-0.027,0.265,47.635,45.331,2.304,-27.574,16.998,60.463,-9.392,57.028
2153,2016,549865,Kenny Hill,QB,TCU,Big 12,555,0.292,0.216,0.639,0.162,0.135,0.688,0.233,0.388,161.853,98.634,63.219,36.297,25.089,94.962,80.042,81.811
6182,2018,3116144,Clayton Thorson,QB,Northwestern,Big Ten,553,0.141,0.118,0.418,-0.087,0.259,0.437,0.02,0.325,77.717,60.563,17.154,-18.246,45.36,64.251,6.577,71.14
9186,2019,4361741,Brock Purdy,QB,Iowa State,Big 12,547,0.325,0.351,0.157,0.314,0.384,0.358,0.281,0.398,177.828,166.363,11.465,69.965,67.927,48.357,96.157,81.671
2143,2016,558337,Nick Fitzgerald,QB,Mississippi State,SEC,545,0.285,0.145,0.584,0.193,0.217,0.568,0.244,0.355,155.371,53.796,101.575,40.246,37.935,81.153,83.561,71.81
9072,2019,4241399,Chris Robison,QB,Florida Atlantic,Conference USA,543,0.28,0.328,-0.089,0.091,0.289,0.628,0.128,0.484,152.068,157.608,-5.539,21.316,47.045,84.097,39.879,112.189
6274,2018,4045290,Peyton Ramsey,QB,Indiana,Big Ten,542,0.174,0.148,0.317,-0.017,0.191,0.41,0.089,0.325,94.2,67.918,26.282,-3.376,36.804,54.101,30.757,63.443
8849,2019,4036378,Jordan Love,QB,Utah State,Mountain West,542,0.192,0.192,0.199,0.117,0.082,0.535,0.114,0.293,104.223,92.499,11.723,23.907,16.261,72.278,34.792,69.43
8687,2019,4240703,Kenny Pickett,QB,Pittsburgh,ACC,541,0.135,0.131,0.167,0.023,0.092,0.324,0.058,0.246,72.876,62.708,10.168,5.114,14.95,47.896,18.691,54.184
6501,2018,3675812,Bryce Perkins,QB,Virginia,ACC,540,0.258,0.254,0.266,0.158,0.005,0.863,0.22,0.336,139.294,93.805,45.489,35.459,1.013,102.746,79.543,59.752
3978,2017,3123047,Malik Rosier,QB,Miami,ACC,537,0.228,0.205,0.323,0.084,0.255,0.412,0.098,0.413,122.351,89.385,32.966,19.357,43.024,54.412,30.987,91.364
4240,2017,3139591,Quinton Flowers,QB,South Florida,American Athletic,537,0.333,0.326,0.348,0.156,0.294,0.686,0.211,0.491,178.901,118.043,60.858,31.54,58.849,90.591,64.074,114.827
5994,2018,4039470,Marcus Childers,QB,Northern Illinois,Mid-American,537,0.063,-0.014,0.281,-0.163,0.15,0.267,-0.101,0.32,34.084,-5.584,39.668,-34.062,25.585,39.809,-33.14,67.223
6539,2018,4240904,Kellen Mond,QB,Texas A&M,SEC,537,0.276,0.246,0.397,0.076,0.413,0.367,0.152,0.431,148.014,105.98,42.034,15.803,80.441,46.199,45.464,102.55
