,recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
,,1900,,Charles Rogers,,,,,,5,0.9988,,,
,,1900,,Johnnie Morant,,,,,,5,0.9871,,,
,,1900,,Michael Clayton,,,,,,5,0.9924,,,
,,1900,,Roy Williams,,,,,,5,0.9916,,,
,,1900,,Brandon Jones,,,,,,5,0.9715,,,
,,1900,,Carlyle Holiday,,,,,,4,0.9739,,,
,,1900,,Craphonso Thorpe,,,,,,4,0.9827,,,
,,1900,,Marcus Maxwell,,,,,,2,0.7667,,,
,,1900,,Tab Perry,,,,,,4,0.9759,,,
,,1900,,Brandon Marshall,,,,,,2,0.7667,,,
,,1900,,Todd Watkins,,,,,,3,0.8333,,,
,,1900,,Yamon Figurs,,,,,,3,0.8,,,
,,1900,,Jarrett Dillard,,,,,,2,0.7667,,,
,,1900,,Julian Edelman,,,,,,3,0.8111,,,
,,1900,,Marko Mitchell,,,,,,2,0.7,,,
,,1900,,Quan Cosby,,,,,,4,0.9739,,,
,,1900,,Tiquan Underwood,,,,,,2,0.73,,,
,,1900,,Danario Alexander,,,,,,2,0.7222,,,
,,1900,,Jacoby Ford,,,,,,4,0.9,,,
,,1900,,Mardy Gilyard,,,,,,2,0.7,,,
,,1900,,Mike Williams,,,,,,2,0.73,,,
,,1900,,Verran Tucker,,California,,,,3,0.838,,,
,,1900,,Greg Salas,,Hawaii,,,,2,0.73,,,
,,1900,,Josh Bellamy,,Louisville,,,,3,0.8111,,,
,,1900,,rod streater,,Temple,,,,2,0.7889,,,
,,2012,,cordarrelle patterson,,Tennessee,,,,4,0.9671,,,
,,2011,,quinton patton,,lousiana tech,,,,2,0.7963,,,
,,2008,,frankie hammond,,florida,,,,4,0.9014,,,
,,2011,,odell beckham,,lsu,,,,4,0.9341,,,
,,2013,,jaelen strong,,arizona state,,,,3,0.8772,,,
,,2013,,kevin white,,west virginia,,,,3,0.8343,,,
1,HighSchool,2002,1,Vince Young,Madison,Texas,DUAL,77,200,5,1,Houston,TX,NA
2,HighSchool,2002,2,Lorenzo Booker,St. Bonaventure,Florida State,APB,70,180,5,0.9992,Ventura,CA,NA
3,HighSchool,2002,3,Ryan Moore,Dr. Phillips,Miami,WR,75,185,5,0.9986,Orlando,FL,NA
4,HighSchool,2002,4,Chris Davis,St. Petersburg,Florida State,ATH,70,170,5,0.998,Saint Petersburg,FL,NA
5,HighSchool,2002,5,Ben Olson,Hillcrest Christian School,BYU,PRO,76,205,5,0.998,Thousand Oaks,CA,NA
6,HighSchool,2002,6,Gerald Riggs Jr.,Red Bank,Tennessee,RB,72,220,5,0.997,Chattanooga,TN,NA
7,HighSchool,2002,8,Ciatrick Fason,Duncan U. Fletcher,Florida,RB,72,210,5,0.997,Neptune Beach,FL,NA
8,HighSchool,2002,9,Reggie McNeal,Lufkin,Texas A&M,ATH,73,210,5,0.997,Lufkin,TX,NA
9,HighSchool,2002,11,Leon Washington,Andrew Jackson,Florida State,CB,68,180,5,0.9946,Jacksonville,FL,NA
10,HighSchool,2002,12,Michael Johnson,Heritage,Virginia,RB,70,180,5,0.9942,Newport News,VA,NA
11,HighSchool,2002,15,Pat Watkins,Lincoln,Florida State,S,75,190,5,0.9926,Tallahassee,FL,NA
12,HighSchool,2002,16,Mike D'Andrea,Avon Lake,Ohio State,ILB,75,230,5,0.9926,Avon Lake,OH,NA
13,HighSchool,2002,17,Ricardo Hurley,Greenwood,South Carolina,ILB,73,235,5,0.9924,Greenwood,SC,NA
14,HighSchool,2002,18,DiShon Platt,Charlotte,Florida State,WR,72,170,5,0.9922,Punta Gorda,FL,NA
15,HighSchool,2002,20,Ahmad Brooks,C. D. Hylton,Virginia,OLB,75,230,5,0.9914,Woodbridge,VA,NA
16,HighSchool,2002,22,Marcus Vick,Warwick,Virginia Tech,DUAL,72,185,5,0.991,Newport News,VA,NA
17,HighSchool,2002,23,Jerious Norwood,Brandon,Mississippi State,RB,72,200,5,0.9906,Brandon,MS,NA
18,HighSchool,2002,24,Marquis Johnson,Centennial,NA,WR,75,190,5,0.9902,Champaign,IL,NA
19,HighSchool,2002,25,Trent Edwards,Los Gatos,Stanford,PRO,76,190,5,0.9894,Los Gatos,CA,NA
20,HighSchool,2002,26,Darren Williams,Clarksdale,Mississippi State,S,75,205,5,0.9892,Clarksdale,MS,NA
21,HighSchool,2002,27,Devin Hester,Suncoast,Miami,ATH,71,180,5,0.9884,West Palm Beach,FL,NA
22,HighSchool,2002,29,James Banks,Ben Davis,Tennessee,DUAL,75,195,5,0.9878,Indianapolis,IN,NA
23,HighSchool,2002,31,Ben Obomanu,Selma Sch,Auburn,WR,74,185,5,0.9855,Selma,AL,NA
24,HighSchool,2002,34,Justin Zwick,Washington,Ohio State,PRO,76,205,5,0.9843,Massillon,OH,NA
25,HighSchool,2002,35,Maurice Clarett,Warren G Harding,Ohio State,RB,72,230,5,0.9841,Warren,OH,NA
26,HighSchool,2002,37,Zach Latimer,Gateway,Oklahoma,OLB,75,215,5,0.9835,Aurora,CO,NA
27,HighSchool,2002,38,Marcedes Lewis,Long Beach Poly,UCLA,TE,78,233,5,0.9835,Long Beach,CA,NA
28,HighSchool,2002,40,Marvin Byrdsong,Longview,Mississippi State,OLB,75,230,4,0.9829,Longview,TX,NA
29,HighSchool,2002,42,Gavin Dickey,Lincoln,Florida,DUAL,72,190,4,0.9821,Tallahassee,FL,NA
30,HighSchool,2002,43,Rhema McKnight,John F. Kennedy,Notre Dame,WR,75,180,4,0.9819,La Palma,CA,NA
31,HighSchool,2002,44,Richard Washington,Fort Myers,NC State,WR,73,175,4,0.9819,Fort Myers,FL,NA
32,HighSchool,2002,45,Eric Winston,Lee,Miami,TE,79,255,4,0.9793,Midland,TX,NA
33,HighSchool,2002,48,DeShawn Wynn,Reading Community,Florida,RB,72,215,4,0.9789,Cincinnati,OH,NA
34,HighSchool,2002,49,Jason Allen,Muscle Shoals,Tennessee,ATH,74,200,4,0.9781,Muscle Shoals,AL,NA
35,HighSchool,2002,51,Aaron Harris,North Mesquite,Texas,ILB,72,230,4,0.9773,Mesquite,TX,NA
36,HighSchool,2002,52,Jason Carter,Jenks,Oklahoma,CB,72,230,4,0.9771,Jenks,OK,NA
37,HighSchool,2002,55,David Richard,Hazelwood East,Michigan State,RB,74,225,4,0.9767,Saint Louis,MO,NA
38,HighSchool,2002,56,Darnell Bing,Long Beach Poly,USC,S,74,205,4,0.9759,Long Beach,CA,NA
39,HighSchool,2002,57,Jarrad Page,San Leandro,UCLA,S,73,200,4,0.9757,San Leandro,CA,NA
40,HighSchool,2002,58,Edorian McCullough,North Garland,Texas,CB,71,190,4,0.9757,Garland,TX,NA
41,HighSchool,2002,59,A.J. Nicholson,Mount Tabor,Florida State,ILB,74,232,4,0.9753,Winston Salem,NC,NA
42,HighSchool,2002,64,A.J. Davis,Northern,NC State,CB,72,177,4,0.9729,Durham,NC,NA
43,HighSchool,2002,65,DaBryan Blanton,Forney,Oklahoma,ATH,72,165,4,0.9723,Forney,TX,NA
44,HighSchool,2002,66,Chris Baker,Osceola,Arkansas,WR,74,185,4,0.9717,Osceola,AR,NA
45,HighSchool,2002,67,Eric McNeal,Junipero Serra,UCLA,S,74,195,4,0.9715,Gardena,CA,NA
46,HighSchool,2002,68,Kyle Brown,West Bloomfield,Michigan State,WR,73,200,4,0.9705,West Bloomfield,MI,NA
47,HighSchool,2002,72,Aaron Miller,Edison,Oklahoma,S,73,175,4,0.9693,Fresno,CA,NA
48,HighSchool,2002,73,Mike Hawkins,Turner,Oklahoma,CB,73,170,4,0.9691,Carrollton,TX,NA
49,HighSchool,2002,74,Jonathan Wade,Evangel Christian Academy,Tennessee,ATH,71,180,4,0.9687,Shreveport,LA,NA
50,HighSchool,2002,75,David Horne,Central,Nebraska,RB,72,195,4,0.9687,Omaha,NE,NA
51,HighSchool,2002,76,Hershel Dennis,Long Beach Poly,USC,RB,71,190,4,0.9687,Long Beach,CA,NA
52,HighSchool,2002,77,Akieem Jolla,St. Augustine,Miami,WR,74,180,4,0.9683,New Orleans,LA,NA
53,HighSchool,2002,78,Montae Pitts,Loachapoka Sch,Auburn,ATH,73,180,4,0.9683,Notasulga,AL,NA
54,HighSchool,2002,79,Selvin Young,Jersey Village,Texas,RB,72,195,4,0.9683,Houston,TX,NA
55,HighSchool,2002,81,Devin Aromashodu,Miami Springs Senior,Auburn,WR,74,185,4,0.9671,Miami,FL,NA
56,HighSchool,2002,82,Chris Davis,St Petersburg Catholic,Florida State,ATH,72,170,4,0.9667,Saint Petersburg,FL,NA
57,HighSchool,2002,85,Aaron Kirkland,Jack Britt,Tennessee,TE,77,240,4,0.9665,Fayetteville,NC,NA
58,HighSchool,2002,86,Anthony Martinez,Patrick Henry,Virginia,PRO,76,220,4,0.9653,Ashland,VA,NA
59,HighSchool,2002,88,Curtis Justus,Perry,Miami,TE,79,210,4,0.9641,Perry,OK,NA
60,HighSchool,2002,89,Matt Gutierrez,De La Salle,Michigan,PRO,76,210,4,0.9637,Concord,CA,NA
61,HighSchool,2002,90,William Cooper,Northern Commencement Academy,Michigan,CB,73,185,4,0.9637,Flint,MI,NA
62,HighSchool,2002,92,Nate Harris,Edison,Miami,OLB,74,210,4,0.9616,Miami,FL,NA
63,HighSchool,2002,96,Robert Timmons,Marcus,Texas,WR,74,205,4,0.942,Flower Mound,TX,NA
64,HighSchool,2002,97,Tyler Palko,West Allegheny,Pittsburgh,DUAL,74,205,4,0.9408,Imperial,PA,NA
65,HighSchool,2002,100,Maurice Stovall,Archbishop John Carroll,Notre Dame,WR,77,205,4,0.9369,Wayne,PA,NA
66,HighSchool,2002,101,Lester Ricard,Amite,LSU,DUAL,76,195,4,0.9367,Amite,LA,NA
67,HighSchool,2002,103,Mario Whitney,Jackson Sr.,Missouri,RB,72,190,4,0.9355,Jackson,MO,NA
68,HighSchool,2002,105,Nick Turner,Washington,Mississippi State,RB,71,195,4,0.9343,Atlanta,GA,NA
69,HighSchool,2002,106,Leonard Pope,Americus Sumter County South,Georgia,TE,79,240,4,0.9333,Americus,GA,NA
70,HighSchool,2002,110,Micheal Hawkins,Turner,Oklahoma,CB,73,170,4,0.9333,Carrollton,TX,NA
71,HighSchool,2002,113,Brodney Pool,Westbury,Oklahoma,S,75,193,4,0.9333,Houston,TX,NA
72,HighSchool,2002,114,Randy Jordan,Bakersfield,Kansas State,CB,74,175,4,0.9333,Bakersfield,CA,NA
73,HighSchool,2002,115,Glenn Ohaeri,Aquinas,UCLA,APB,69,190,4,0.9329,San Bernardino,CA,NA
74,HighSchool,2002,116,Albert Hardy,Galena Park,Texas,FB,71,225,4,0.9321,Galena Park,TX,NA
75,HighSchool,2002,117,Jason Avant,Carver Military Academy,Michigan,WR,74,200,4,0.9311,Chicago,IL,NA
76,HighSchool,2002,119,Isaiah Stanback,Garfield,Washington,DUAL,75,190,4,0.9307,Seattle,WA,NA
77,HighSchool,2002,124,Terrell Walden,Edison,Miami,CB,70,165,4,0.9,Miami,FL,NA
78,HighSchool,2002,126,Mike Nixon,Sunnyslope,UCLA,ATH,75,205,4,0.9,Phoenix,AZ,NA
79,HighSchool,2002,127,Archie McDaniel,Bay City,Texas A&M,ILB,73,215,4,0.9,Bay City,TX,NA
80,HighSchool,2002,129,Larry Fitzgerald,Valley Forge Military Academy (HS),Pittsburgh,WR,75,205,4,0.9,Minneapolis,MN,NA
81,HighSchool,2002,130,Bobby Carpenter,Lancaster,Ohio State,OLB,75,235,4,0.9,Lancaster,OH,NA
82,HighSchool,2002,133,Rufus Alexander,Christian Life Academy,Oklahoma,OLB,74,215,4,0.9,Baton Rouge,LA,NA
83,HighSchool,2002,135,Nate Salley,St. Thomas Aquinas,Ohio State,S,75,180,4,0.9,Fort Lauderdale,FL,NA
84,HighSchool,2002,136,Troy Smith,Glenville,Ohio State,DUAL,73,200,4,0.9,Cleveland,OH,NA
85,HighSchool,2002,140,Cameron Vaughn,Archbishop Shaw,LSU,ILB,75,220,4,0.9,Marrero,LA,NA
86,HighSchool,2002,143,Jim Kanuch,Westmont Hilltop,Penn State,S,74,190,4,0.9,Johnstown,PA,NA
87,HighSchool,2002,145,Kenny James,Dos Palos,Washington,RB,71,206,4,0.9,Dos Palos,CA,NA
